ts,occ,bid,ask
1787234640.034,NBIS260821P00205000,2.2000,2.3600
1787234641.191,NBIS260821P00205000,2.2000,2.3600
1787234642.073,NBIS260821P00205000,2.2000,2.3600
1787234643.039,NBIS260821P00205000,2.2000,2.3600
1787234644.038,NBIS260821P00205000,2.2000,2.3600
1787234645.296,NBIS260821P00205000,2.2000,2.3600
1787234646.091,NBIS260821P00205000,2.2000,2.3600
1787234647.070,NBIS260821P00205000,2.2000,2.3600
1787234648.083,NBIS260821P00205000,2.2000,2.3500
1787234649.066,NBIS260821P00205000,2.2500,2.4000
1787234650.498,NBIS260821P00205000,2.2500,2.4000
1787234651.030,NBIS260821P00205000,2.2500,2.4000
1787234652.017,NBIS260821P00205000,2.1700,2.3700
1787234653.089,NBIS260821P00205000,2.1700,2.3700
1787234654.943,NBIS260821P00205000,2.1700,2.3800
1787234655.014,NBIS260821P00205000,2.1700,2.3800
1787234659.056,NBIS260821P00205000,2.1700,2.3800
1787234660.232,NBIS260821P00205000,2.2200,2.4000
1787234661.062,NBIS260821P00205000,2.2600,2.4000
1787234662.336,NBIS260821P00205000,2.2600,2.4000
1787234663.922,NBIS260821P00205000,2.2400,2.4000
1787234664.485,NBIS260821P00205000,2.2400,2.4000
1787234665.037,NBIS260821P00205000,2.2200,2.4000
1787234666.587,NBIS260821P00205000,2.2700,2.4000
1787234667.072,NBIS260821P00205000,2.2700,2.4000
1787234668.037,NBIS260821P00205000,2.2600,2.4000
1787234669.330,NBIS260821P00205000,2.3100,2.4000
1787234670.130,NBIS260821P00205000,2.3100,2.4000
1787234671.075,NBIS260821P00205000,2.3000,2.4000
1787234673.656,NBIS260821P00205000,2.2600,2.4000
1787234674.042,NBIS260821P00205000,2.2600,2.4000
1787234675.208,NBIS260821P00205000,2.2600,2.4000
1787234676.038,NBIS260821P00205000,2.2600,2.4000
1787234677.298,NBIS260821P00205000,2.2600,2.4000
1787234678.263,NBIS260821P00205000,2.2600,2.4000
1787234680.090,NBIS260821P00205000,2.2600,2.4000
1787234682.226,NBIS260821P00205000,2.2500,2.4000
1787234683.045,NBIS260821P00205000,2.2600,2.4000
1787234684.034,NBIS260821P00205000,2.2800,2.4000
1787234685.049,NBIS260821P00205000,2.1600,2.3500
1787234686.049,NBIS260821P00205000,2.2300,2.3900
1787234687.111,NBIS260821P00205000,2.2300,2.4000
1787234688.003,NBIS260821P00205000,2.2300,2.4000
